locationID,fullAQSID,locationName,longitude,latitude,elevation,countryCode,stateCode,countyName,timezone,houseNumber,street,city,zip,AQSID,airnow_stationID,airnow_parameterName,airnow_monitorType,airnow_siteCode,airnow_status,airnow_agencyID,airnow_agencyName,airnow_EPARegion,airnow_GMTOffsetHours,airnow_CBSA_ID,airnow_CBSA_Name,airnow_stateAQSCode,airnow_countyAQSCode,airnow_MSAName,address
1cd2549c9a714f4a,840410450001,Ontario May Roberts Elementary School,-116.9697,44.033365,655.1,US,OR,Malheur,America/Boise,NA,Northwest 6th Street,Ontario,97914,840410450001,840410450001,PM2.5,Permanent,0001,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,045,NA,"School District Bus Parking/Garage, Northwest 6th Street, Ontario, OR 97914, United States of America"
598903ed6ced002a,840410470004,Turner - CJHS,-122.915085,44.81029,101.9,US,OR,Marion,America/Los_Angeles,NA,Marion Road Southeast,NA,NA,410470004,410470004,PM2.5,Permanent,0004,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,41420," Salem, OR ",41,047,NA,"Cascade Senior High School, Marion Road Southeast, Marion County, OR, United States of America"
19f386084f98cf0c,840410470007,Silverton,-122.790382,45.014998,67.55,US,OR,Marion,America/Los_Angeles,NA,North James Street,Silverton,97381,410470007,410470007,PM2.5,Permanent,0007,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,047,NA,"Silverton Assembly of God, North James Street, Silverton, OR 97381, United States of America"
1cb781e237789ba7,840410470041,Salem - State Hospital,-123.005934,44.943114,54.9,US,OR,Marion,America/Los_Angeles,924,23rd Street Northeast,NA,97301,410470041,410470041,PM2.5,Permanent,0041,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,41420," Salem, OR ",41,047,NA,"924 23rd Street Northeast, Salem, OR 97301, United States of America"
04e234330ca89908,840410470123,Detroit Lake,-122.182756,44.728314,498.66,US,OR,Marion,America/Los_Angeles,NA,North Santiam Highway,NA,97342,410470123,410470123,PM2.5,Permanent,0123,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,047,NA,"North Santiam Highway, Marion County, OR 97342, United States of America"
ccf94b848596b6e8,840410510003,Roosevelt High School,-122.73762,45.5901,34.8,US,OR,Multnomah,America/Los_Angeles,6941,North Central Street,NA,97203,840410510003,840410510003,PM2.5,Permanent,0003,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"Roosevelt High School, 6941 North Central Street, Portland, OR 97203, United States of America"
c8fcebc1bd6db367,840410510031,Gresham Centennial HS,-122.4834,45.4962,80.8,US,OR,Multnomah,America/Los_Angeles,3505,Southeast 182nd Avenue,NA,97233,840410510031,840410510031,PM2.5,Permanent,0031,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,051,NA,"Centennial High School, 3505 Southeast 182nd Avenue, Portland, OR 97233, United States of America"
5382df88cf5e91d3,840410510032,Portland Lane Middle School,-122.60147,45.47142,76.9,US,OR,Multnomah,America/Los_Angeles,7200,Southeast 60th Avenue,NA,97206,840410510032,840410510032,PM2.5,Permanent,0032,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,051,NA,"Lane Middle School, 7200 Southeast 60th Avenue, Portland, OR 97206, United States of America"
eebfec3d4c3faf87,840410510034,Portland Lincoln High School,-122.6881,45.5187,37.8,US,OR,Multnomah,America/Los_Angeles,1600,Southwest Salmon Street,NA,97205,840410510034,840410510034,PM2.5,Permanent,0034,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"Lincoln High School, 1600 Southwest Salmon Street, Portland, OR 97205, United States of America"
808a01dd4df5d686,840410510035,Portland SE 12th and Salmon,-122.653294,45.51421,14.9,US,OR,Multnomah,America/Los_Angeles,1240,Southeast 12th Avenue,NA,97214,840410510035,840410510035,PM2.5,Permanent,0035,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"1240 Southeast 12th Avenue, Portland, OR 97214, United States of America"
a119b5a9a0ecd73a,840410510039,Portland McDaniel High School,-122.5795,45.5418,80.8,US,OR,Multnomah,America/Los_Angeles,2735,Northeast 82nd Avenue,NA,97220,840410510039,840410510039,PM2.5,Permanent,0039,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"Leodis V. McDaniel High School, 2735 Northeast 82nd Avenue, Portland, OR 97220, United States of America"
68a21258a8e9077a,840410510080,Portland - SE Lafayette,-122.602877,45.496641,75,US,OR,Multnomah,America/Los_Angeles,5824,Southeast Lafayette Street,NA,97206,410510080,410510080,PM2.5,Permanent,0080,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"5824 Southeast Lafayette Street, Portland, OR 97206, United States of America"
5de83ad7bc9dffb4,840410512010,Portland Humboldt School,-122.670985,45.558081,63.27,US,OR,Multnomah,America/Los_Angeles,4915,North Gantenbein Avenue,NA,97217,840410512010,840410512010,PM2.5,Permanent,2010,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"4915 North Gantenbein Avenue, Portland, OR 97217, United States of America"
a0a263cdf405fc75,840410512011,Portland Cully Helensview School,-122.575624,45.562203,24.75,US,OR,Multnomah,America/Los_Angeles,8678,Northeast Sumner Street,NA,97220,840410512011,840410512011,PM2.5,Permanent,2011,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,051,NA,"Helensview School, 8678 Northeast Sumner Street, Portland, OR 97220, United States of America"
3323cdce4061492e,840410530004,Dallas LaCreole Middle School,-123.301956,44.92261,94.9,US,OR,Polk,America/Los_Angeles,NA,Southeast Academy Street,Dallas,97338,840410530004,840410530004,PM2.5,Permanent,0004,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,053,NA,"LaCreole Middle School, Southeast Academy Street, Dallas, OR 97338, United States of America"
f317b93fdee5048d,840410570001,Tillamook Forestry Dept,-123.802809,45.457347,18.9,US,OR,Tillamook,America/Los_Angeles,5005,3rd Street,Tillamook,97141,410570001,840410570001,PM2.5,Permanent,0001,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,057,NA,"Oregon Department of Forestry - Tillamook District Office, 5005 3rd Street, Tillamook, OR 97141, United States of America"
f187226671d1109a,840410590121,Pendleton - McKay Creek,-118.823033,45.652231,319,US,OR,Umatilla,America/Los_Angeles,1312,Southwest 39th Street,Pendleton,97801,410590121,410590121,PM2.5,Permanent,0121,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,37820," Pendleton-Hermiston, OR ",41,059,NA,"1312 Southwest 39th Street, Glendale, Pendleton, OR 97801, United States of America"
f967e94c9bc679b0,840410591003,Hermiston - Municipal Airport,-119.262991,45.828968,194,US,OR,Umatilla,America/Los_Angeles,1569,Airport Way,Hermiston,97838,410591003,410591003,PM2.5,Permanent,1003,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,37820," Pendleton-Hermiston, OR ",41,059,NA,"1569 Airport Way, Hermiston, OR 97838, United States of America"
f8a6733b198175e9,840410610120,Cove - City Hall,-117.812896,45.300884,882.4,US,OR,Union,America/Los_Angeles,544,Alder Street,NA,97824,410610120,410610120,PM2.5,Permanent,0120,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,29260," La Grande, OR ",41,061,NA,"544 Alder Street, Cove, Union County, OR 97824, United States of America"
26f26425d6920a34,840410610123,La Grande Hall & N Sts,-118.0778,45.3235,844.5,US,OR,Union,America/Los_Angeles,1301,North Hall Street,La Grande,97850,410610123,410610123,PM2.5,Permanent,0123,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,29260," La Grande, OR ",41,061,NA,"1301 North Hall Street, La Grande, OR 97850, United States of America"
53df6ad0d4655e77,840410630001,Enterprise - US Forest Service,-117.296066,45.426351,1163.6,US,OR,Wallowa,America/Los_Angeles,NA,Highland Avenue,Enterprise,97828,410630001,410630001,PM2.5,Permanent,0001,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,063,NA,"Eagle Cap Ranger Station, Highland Avenue, Enterprise, OR 97828, United States of America"
88f75107cbc4d5f4,840410650007,The Dalles - Cherry Heights,-121.203387,45.602419,86.3,US,OR,Wasco,America/Los_Angeles,NA,Cherry Heights Road,The Dalles,95058,410650007,410650007,PM2.5,Permanent,0007,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,17180," City of The Dalles, OR ",41,065,NA,"Saint Marys Academy, Cherry Heights Road, The Dalles, OR 95058, United States of America"
